2021-06-05 22:34:26,186 INFO [main] c.a.h.Run [Run.java:32] Start finding the nearest lesson group for student with id: 2
2021-06-05 22:34:26,265 INFO [main] c.a.h.Run [Run.java:35] The nearest lesson group for student with id: 2 is
NearLesson{id=2,
teacher=Misha Misha,
topic=OOP,
date=2021-06-15,
time=17:00Z,
group=nix-4,
course=java}
2021-06-05 22:34:26,265 INFO [main] c.a.h.Run [Run.java:41] Start finding the best group of teacher with id: 2
2021-06-05 22:34:26,280 INFO [main] c.a.h.Run [Run.java:44] The best group of teacher with id: 2 is nix-4
2021-06-05 22:34:26,280 INFO [main] o.h.o.c.pooling [DriverManagerConnectionProviderImpl.java:502] HHH10001008: Cleaning up connection pool [jdbc:postgresql://localhost:5432/programingDB]
2021-06-05 22:38:56,768 INFO [main] o.h.Version [Version.java:44] HHH000412: Hibernate ORM core version 5.5.0.Final
2021-06-05 22:38:58,019 INFO [main] o.h.a.c.Version [JavaReflectionManager.java:56] HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
2021-06-05 22:38:59,227 WARN [main] o.h.o.c.pooling [DriverManagerConnectionProviderImpl.java:72] HHH10001002: Using Hibernate built-in connection pool (not for production use!)
2021-06-05 22:38:59,379 INFO [main] o.h.o.c.pooling [DriverManagerConnectionProviderImpl.java:115] HHH10001005: using driver [org.postgresql.Driver] at URL [jdbc:postgresql://localhost:5432/programingDB]
2021-06-05 22:38:59,403 INFO [main] o.h.o.c.pooling [DriverManagerConnectionProviderImpl.java:124] HHH10001001: Connection properties: {password=****, user=lucy}
2021-06-05 22:38:59,403 INFO [main] o.h.o.c.pooling [DriverManagerConnectionProviderImpl.java:129] HHH10001003: Autocommit mode: false
2021-06-05 22:38:59,475 INFO [main] o.h.e.j.c.i.DriverManagerConnectionProviderImpl [DriverManagerConnectionProviderImpl.java:274] HHH000115: Hibernate connection pool size: 20 (min=1)
2021-06-05 22:39:00,084 INFO [main] o.h.d.Dialect [Dialect.java:175] HHH000400: Using dialect: org.hibernate.dialect.PostgreSQL10Dialect
2021-06-05 22:39:01,734 INFO [main] o.h.o.c.access [DdlTransactionIsolatorNonJtaImpl.java:48] HHH10001501: Connection obtained from JdbcConnectionAccess [org.hibernate.engine.jdbc.env.internal.JdbcEnvironmentInitiator$ConnectionProviderJdbcConnectionAccess@1ff15a50] for (non-JTA) DDL execution was not in auto-commit mode; the Connection 'local transaction' will be committed and the Connection will be set into auto-commit mode.
2021-06-05 22:39:01,844 INFO [main] o.h.o.c.access [DdlTransactionIsolatorNonJtaImpl.java:48] HHH10001501: Connection obtained from JdbcConnectionAccess [org.hibernate.engine.jdbc.env.internal.JdbcEnvironmentInitiator$ConnectionProviderJdbcConnectionAccess@750a04ec] for (non-JTA) DDL execution was not in auto-commit mode; the Connection 'local transaction' will be committed and the Connection will be set into auto-commit mode.
2021-06-05 22:39:02,063 INFO [main] o.h.t.s.i.SchemaCreatorImpl [AbstractScriptSourceInput.java:33] HHH000476: Executing import script 'file:/D:/NIX-4%20(copy%20for%20develop)/unit_13_jpa_hibernate/university-data-access/target/classes/import.sql'
2021-06-05 22:39:02,141 INFO [main] o.h.e.t.j.p.i.JtaPlatformInitiator [JtaPlatformInitiator.java:52] HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2021-06-05 22:39:02,281 INFO [main] c.a.h.Run [Run.java:23] Creating database and start linking teachers and groups
2021-06-05 22:39:02,672 INFO [main] c.a.h.Run [Run.java:26] Create links between teachers and groups
2021-06-05 22:39:02,672 INFO [main] c.a.h.Run [Run.java:32] Start finding the nearest lesson group for student with id: 2
2021-06-05 22:39:02,734 INFO [main] c.a.h.Run [Run.java:35] The nearest lesson group for student with id: 2 is
NearLesson{id=2,
teacher=Misha Misha,
topic=OOP,
date=2021-06-15,
time=15:00,
group=nix-4,
course=java}
2021-06-05 22:39:02,734 INFO [main] c.a.h.Run [Run.java:41] Start finding the best group of teacher with id: 2
2021-06-05 22:39:02,750 INFO [main] c.a.h.Run [Run.java:44] The best group of teacher with id: 2 is nix-4
2021-06-05 22:39:02,766 INFO [main] o.h.o.c.pooling [DriverManagerConnectionProviderImpl.java:502] HHH10001008: Cleaning up connection pool [jdbc:postgresql://localhost:5432/programingDB]
2021-06-05 22:39:51,919 INFO [main] o.h.Version [Version.java:44] HHH000412: Hibernate ORM core version 5.5.0.Final
2021-06-05 22:39:52,839 INFO [main] o.h.a.c.Version [JavaReflectionManager.java:56] HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
2021-06-05 22:39:53,543 WARN [main] o.h.o.c.pooling [DriverManagerConnectionProviderImpl.java:72] HHH10001002: Using Hibernate built-in connection pool (not for production use!)
2021-06-05 22:39:53,559 INFO [main] o.h.o.c.pooling [DriverManagerConnectionProviderImpl.java:115] HHH10001005: using driver [org.postgresql.Driver] at URL [jdbc:postgresql://localhost:5432/programingDB]
2021-06-05 22:39:53,559 INFO [main] o.h.o.c.pooling [DriverManagerConnectionProviderImpl.java:124] HHH10001001: Connection properties: {password=****, user=lucy}
2021-06-05 22:39:53,559 INFO [main] o.h.o.c.pooling [DriverManagerConnectionProviderImpl.java:129] HHH10001003: Autocommit mode: false
2021-06-05 22:39:53,574 INFO [main] o.h.e.j.c.i.DriverManagerConnectionProviderImpl [DriverManagerConnectionProviderImpl.java:274] HHH000115: Hibernate connection pool size: 20 (min=1)
